Department Ref Number,Construction Activity (Y/N),County,Development Name,Address 1,Address 2,Planning Ref,Planning Date,Planning Expiry Date,Detached Units,Semi-detached Units,Terraced Units,Apartment Units,Duplex Units,Total All Units,Occupied Houses,Vacant Houses,Near Complete Active Houses,Near Complete Not Active Houses,Wall Plate Active Houses,Wall Plate Not Active Houses,DPC Active Houses,DPC Not Active Houses,Founds Active Houses,Founds Not Active Houses,No Start Houses,Planning Expired Houses,Occupied Apartments,Vacant Apartments,Near Complete Active Apartments,Near Complete Not Active Apartments,Wall Plate Active Apartments,Wall Plate Not Active Apartments,DPC Active Apartments,DPC Not Active Apartments,Founds Active Apartments,Founds Not Active Apartments,No Start Apartments,Plannig Expired Apt,Roads Complete,Road Base Complete,Roads None,Footpaths Complete,Footpaths Not Complete,Lighting Complete,Lighting Not Complete,Water Potable,Water Storm,Water Waste,No OS Areas In Planning Permission,OS Area Complete,OS Area Levelled,OS Area Untouched,Survey Date,Building Site Only,,Occupied Houses Impacted,Occupied Apartments Impacted
2325,Yes,Roscommon,Hanley Avenue,,Loughlynn,31556,30/08/2004,29/08/2009,0,12,0,0,0,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,10,0,0,12,12,12,12,2,2,0,0,29/08/2017,No,,0,0
2326,No,Roscommon,Hazelfort Park,,Lisacul,42033,16/11/2005,15/11/2010,11,8,0,0,0,19,0,0,0,3,0,2,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,3,3,2,1,0,1,29/08/2017,Yes,1,0,0
2329,No,Roscommon,Hillview,Falledeen,Ballinlough,41702,01/04/2005,31/03/2010,17,0,0,0,0,17,9,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,0,11,11,11,3,3,0,0,25/07/2017,No,,5,0
2330,No,Roscommon,Key West,Tintagh,Boyle,41071,04/10/2004,13/10/2009,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,04/08/2017,Yes,1,0,0
2337,No,Roscommon,Lios na hAbhainn,,Rooskey,42500,24/06/2005,23/06/2010,12,14,0,0,0,26,11,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,18,0,18,18,18,4,1,0,3,03/08/2017,No,,2,0
2339,No,Roscommon,Lisroyne Court,Elphin Street,Strokestown,"011778, 031746","01/10/03, 01/04/04",31/03/2009,0,0,12,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,12,12,12,12,1,0,1,0,29/08/2017,Yes,1,0,0
2354,Yes,Roscommon,Orchard Grove,Hillstreet Road,Elphin,404,19/07/2000,18/07/2005,4,18,0,0,0,22,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,2,17,5,19,3,19,19,19,1,1,0,0,29/08/2017,No,,0,0
2355,Yes,Roscommon,Pairc Caislean,Ballinasloe Road,Ballyforan,4192,18/08/2004,16/08/2017,18,0,0,0,0,18,2,0,0,2,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,4,4,1,0,0,1,19/09/2017,No,,2,0
2358,No,Roscommon,Quay West,Cooladye,Cootehall,031209 04 1949,10/06/2004,09/06/2009,1,22,0,0,0,23,7,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,11,0,0,11,11,11,11,3,3,0,0,04/08/2017,No,,1,0
2363,No,Roscommon,Rosshill,Galway Road,Roscommon,41828,28/02/2006,27/02/2013,52,194,105,4,0,355,0,0,0,4,0,0,0,0,0,30,0,317,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,8,25/07/2017,Yes,1,0,0
2369,No,Roscommon,Silveroe,Frenchpark Road,Boyle,"011598, 041919, PL20.229382","16/01/06, 04/06/08",15/01/2011,28,106,0,0,0,134,12,4,0,22,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,38,0,0,38,38,38,38,2,0,0,2,04/08/2017,No,,12,0
2372,No,Roscommon,The Granary,Charlestown Road,Ballaghaderreen,04/1021,14/10/2004,13/10/2009,0,0,8,4,0,12,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,4,4,1,0,1,0,16/08/2017,Yes,1,0,0
2374,Yes,Roscommon,The Maples,Tulsk Road,Strokestown,42173,31/03/2005,30/03/2010,13,24,0,0,0,37,26,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23,0,0,23,23,23,23,2,2,0,0,29/08/2017,No,,0,0
2376,No,Roscommon,The Paddocks,Athleague,Athleague,"041296 00/974,02/1312,05/1812",24/04/2004,18/11/2016,37,8,0,0,0,45,21,1,0,0,0,1,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,17,4,2,0,2,19/09/2017,No,,2,0
2377,No,Roscommon,The Plains,Tulsk Road,Ballinagare,650,18/02/2001,19/03/2002,4,28,0,0,0,32,19,2,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,21,0,21,21,21,1,1,0,0,29/08/2017,No,,1,0
2386,No,Roscommon,Woodlands,Ballinlough Road,Loughlynn,"01369, 041977","21/02/02, 01/09/05",31/08/2013,1,20,0,0,0,21,9,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,13,13,13,4,2,0,2,29/08/2017,No,,4,0
2397,No,Sligo,Swan Point,Fish Quay,Sligo,PD04/99,13/12/2004,12/12/2009,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/08/2017,Yes,1,0,0
2399,No,Sligo,Aylesbury Park,,Sligo,PL08/786 PL09/452,05/06/2009,04/06/2014,2,10,0,0,0,12,6,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,5,5,5,5,1,1,0,0,16/08/2017,No,,2,0
2403,No,Sligo,Avena Mill Apartments,Knockmuldowney,Ballisodare,PL03/808,08/07/2004,07/07/2009,0,0,0,62,11,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,66,0,0,66,0,66,0,66,66,66,0,0,0,0,16/08/2017,Yes,1,0,0
2404,No,Sligo,Avena Mixed Use Development,Village Centre,Ballisodare,PL04/1504,11/07/2005,10/07/2010,0,0,0,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/08/2017,Yes,1,0,0
2411,No,Sligo,Clougher Court,Village Centre,Monasteradden,PL03/639,30/03/2004,29/03/2009,0,0,13,0,0,13,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,0,0,2,24/07/2017,Yes,1,0,0
