No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
136,SHIP CONSTRUCTION,DLR,Broadford Rise,21,N/A,,,,,Q3-2017,
137,SHIP CONSTRUCTION,DLR,Cromlech Close,15,N/A,,,,,,Q3-2016
138,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 3),14,N/A,,,,,Q3-2016,
139,SHIP CONSTRUCTION,DLR,The Brambles Park Close Sallynoggin,10,N/A,,,,,Q1-2017,
140,SHIP CONSTRUCTION,DLR,"66 George's Street, Dun Laoghaire",4,N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
141,SHIP CONSTRUCTION,DLR,"132 Pottery Road, Dun Laoghaire",4,N/A,,,,,Q4-2017,
142,SHIP CONSTRUCTION,DLR,49 The Mews Sallynoggin Park,4,N/A,,,,,,Q4-2017
143,SHIP CONSTRUCTION,DLR,St Michael's Terrace,4,N/A,,,,,,Q3-2017
144,SHIP CONSTRUCTION,DLR,Clontibret House,4,N/A,,,,,,Q4-2016
145,SHIP CONSTRUCTION,DLR,"33,35, & 37 Temple Road",3,N/A,,,,,Q3-2017,
146,SHIP CONSTRUCTION,DLR,Assistant Harbour Master House,2,N/A,,,,,,Q3-2017
147,SHIP CONSTRUCTION,DLR,"41 Ballyogan Ave., Ballyogan, Co. Dublin",2,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
148,SHIP CONSTRUCTION,DLR,Shanganagh Park Lodge,1,N/A,,,,,,Q2-2016
149,SHIP CONSTRUCTION RAPID,DLR,Glenamuck/Stillorgan (Rockville Drive),14,N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
150,SHIP CONSTRUCTION RAPID,DLR,George's Place,12,N/A,,,,,Q3-2017,
151,SHIP CONSTRUCTION TURNKEY,DLR,"Hazelbrook, Nutgrove, Churchtown",28,N/A,,,,,,Q4-2017
152,CALF CONSTRUCTION,Donegal,"Ballaghderg, Letterkenny, Co Donegal ",33,Respond!,,,,Scheme approved for CALF Funding Q4-2017,,
