No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
790,CALF CONSTRUCTION TURNKEY,Wexford,Wexford,28,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4-2016,,
791,CALF CONSTRUCTION TURNKEY,Wexford," Hunters Green, Gorey - Phase 1",18,Co operative Ireland,,,,,,Q2-2016
792,CALF CONSTRUCTION TURNKEY,Wexford,"Hunters Green, Gorey - Phase 2",11,Co operative Ireland,,,,,,Q1-2017
793,CALF CONSTRUCTION TURNKEY,Wexford,"Ballyboggan, Castlebridge",10,Co-operative Housing Ireland,,,,,Q4-2017,
794,CALF CONSTRUCTION TURNKEY,Wexford,"Hunters Green, Gorey - Phase 3",9,Co operative Ireland,,,,,,Q4-2017
795,CALF CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford*",6,Túath Housing Association,,,,,,Q1-2017
796,CALF CONSTRUCTION TURNKEY,Wexford,"233-253 Ard uisce, Whiterock, Wexford ",6,Túath Housing Association,,,,,Q4-2016,
797,CALF CONSTRUCTION TURNKEY,Wexford,"Unit No's 238, 239, 240, 241, 245 Ard Uisce, Whiterock",5,Túath Housing Association,,,,,,Q4-2017
798,CAS CONSTRUCTION,Wexford,Barrystown,16,Grantstown Voluntary Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
799,CAS CONSTRUCTION,Wexford,"Westlands, Wexford",7,Respond!,,,,,Q4-2017,
800,CAS CONSTRUCTION,Wexford,Rathangan,7,Rathangan Senior Citizens Housing Association Ltd,,,,,,Q3-2017
801,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",36,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
802,SHIP CONSTRUCTION,Wexford,"Clonard, Wexford",26,N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
803,SHIP CONSTRUCTION,Wexford,"Cloghultagh, Taghmon",18,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
804,SHIP CONSTRUCTION,Wexford,"Carricklawn, Coolcots, Wexford",14,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
805,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",14,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
806,SHIP CONSTRUCTION,Wexford,Danescastle,12,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
807,SHIP CONSTRUCTION,Wexford,"Ballywish, Castlebridge",11,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
808,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",10,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
809,SHIP CONSTRUCTION,Wexford,"Slippery Green, Wexford",10,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
810,SHIP CONSTRUCTION,Wexford,"Baile an Tr , Riverchapel (Courtown Ardamine)",10,N/A,,,,,,Q2-2016
811,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",9,N/A,,,,,Q4-2017,
812,SHIP CONSTRUCTION,Wexford,"Cherryorchard, Enniscorthy",8,N/A,,,,,Q3-2017,
813,SHIP CONSTRUCTION,Wexford,"Shanna Court, Coolcotts",8,N/A,,,,,,Q1-2016
814,SHIP CONSTRUCTION,Wexford,"Belvedere Road, Wexford",7,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
815,SHIP CONSTRUCTION,Wexford,"Coolcotts, Clonard",7,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
816,SHIP CONSTRUCTION,Wexford,"Maudlintown, Wexford",5,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
817,SHIP CONSTRUCTION,Wexford,"Glentire, The Ballagh, Enniscorthy",5,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
818,SHIP CONSTRUCTION,Wexford,"King Street, Wexford",3,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
819,SHIP CONSTRUCTION,Wexford,Cois Mara,2,N/A,,,,,Q4-2017,
820,SHIP CONSTRUCTION,Wexford,Oylegate,2,N/A,,,,,Q1-2017,
821,SHIP CONSTRUCTION,Wexford,"SN Castlemoyle, New Ross",1,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
822,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,N/A,,,"Stage 3 approved in Q3-2016, the scheme is now being tendered.",,,
823,SHIP CONSTRUCTION,Wexford,"Francis Street, Wexford",1,N/A,,,,,,Q1-2017
824,SHIP CONSTRUCTION,Wexford,Commodore Barry,1,N/A,,,,,,Q2-2016
825,SHIP CONSTRUCTION TURNKEY,Wexford,"Madeira Oaks, Wexford",8,N/A,,,,,,Q3-2017
826,CALF CONSTRUCTION,Wicklow,"St Ernan's View, Merrymeeting, Rathnew",45,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2017 ,,
827,CALF CONSTRUCTION TURNKEY,Wicklow,"Bollarney North, Wicklow Town, Wicklow",32,Túath Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
828,CALF CONSTRUCTION TURNKEY,Wicklow,"The Meadows, Ballynerrin, Wicklow Town",7,Túath Housing Association Ltd,,,,Scheme approved for CALF Funding Q4-2017,,
829,CALF CONSTRUCTION TURNKEY,Wicklow,"Abbey St, Wicklow",6,Túath Housing Association,,,,,Q2-2017,
830,CAS CONSTRUCTION,Wicklow,"Lathaleer, Baltinglass",5,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
831,SHIP CONSTRUCTION,Wicklow,"Kilbride Lane, Bray (Murphy's Lands)",42,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
832,SHIP CONSTRUCTION,Wicklow,"Carrig Eden,1 Marine Road, Greystones",30,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
833,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 2)",26,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
834,SHIP CONSTRUCTION,Wicklow,"Farrankelly, Greystones (Phase 2)",24,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
835,SHIP CONSTRUCTION,Wicklow,Emoclew (Phase 3),21,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
836,SHIP CONSTRUCTION,Wicklow,"Sugarloaf View, Kilmacanogue",20,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
837,SHIP CONSTRUCTION,Wicklow,"Avondale Heights, Rathdrum (Phase 2)",20,N/A,,,,,Q3-2017,
838,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 1)",17,N/A,,,,,Q4-2017,
839,SHIP CONSTRUCTION,Wicklow,"FCA Hall, Wicklow Town",8,N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
840,SHIP CONSTRUCTION,Wicklow,"Old Library, Arklow",7,N/A,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
841,SHIP CONSTRUCTION,Wicklow,"Kilmantain Place, Bray",4,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
842,SHIP CONSTRUCTION,Wicklow,"Ard Na Mara, Kilcoole",2,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
843,SHIP CONSTRUCTION,Wicklow,"Druids Brook, Kilcoole",2,N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
844,SHIP CONSTRUCTION,Wicklow,"10A Castle Villas, Greystones",1,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
845,SHIP CONSTRUCTION,Wicklow,"O'Byrne Road, Bray",1,N/A,,,,,Q4-2017,
846,SHIP CONSTRUCTION,Wicklow,"16A Oak Drive, Blessington",1,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
